x,y
1.48E-02,2.99E-01
-5.48E-01,3.26E-01
-1.05E+00,3.33E-01
-1.60E+00,3.47E-01
-2.15E+00,3.62E-01
-2.66E+00,3.69E-01
-3.21E+00,3.96E-01
-3.72E+00,4.35E-01
-4.26E+00,4.49E-01
-4.79E+00,4.51E-01
-5.31E+00,4.26E-01
-5.84E+00,4.85E-01
-6.35E+00,5.37E-01
-6.88E+00,6.02E-01
-7.39E+00,6.87E-01
-7.91E+00,6.43E-01
-8.44E+00,6.57E-01
-8.97E+00,6.07E-01
-9.49E+00,6.15E-01
-1.00E+01,6.10E-01
-1.05E+01,5.08E-01
-1.11E+01,5.48E-01
-1.16E+01,5.49E-01
-1.21E+01,5.57E-01
-1.26E+01,5.52E-01
-1.31E+01,5.02E-01
-1.37E+01,5.28E-01
-1.42E+01,5.10E-01
-1.47E+01,5.18E-01
-1.52E+01,5.19E-01
-1.57E+01,5.46E-01
-1.63E+01,5.22E-01
-1.68E+01,5.23E-01
-1.73E+01,5.05E-01
-1.78E+01,6.98E-01
-1.83E+01,7.12E-01
-1.88E+01,7.00E-01
-1.93E+01,8.29E-01
-1.98E+01,9.20E-01
-2.03E+01,9.21E-01
-2.08E+01,9.86E-01
-2.14E+01,1.16E+00
-2.19E+01,1.22E+00
-2.24E+01,1.46E+00
-2.29E+01,1.46E+00
-2.38E+01,1.49E+00
-2.44E+01,1.58E+00
-2.48E+01,1.64E+00
-2.54E+01,1.51E+00
-2.60E+01,1.57E+00
-2.65E+01,1.64E+00
-2.70E+01,1.54E+00
-2.76E+01,1.69E+00
-2.80E+01,1.56E+00
-2.85E+01,1.73E+00
-2.91E+01,1.70E+00
-2.96E+01,1.73E+00
-3.00E+01,1.79E+00
-3.06E+01,1.55E+00
-3.11E+01,1.63E+00
-3.16E+01,1.64E+00
